,구분,시설명,위치,위도,경도
3130,복지센터,신효데이케어앤드 주식회사,"37.4994108612248, 127.101434585855",37.4994108612248,127.101434585855
3131,복지센터,석관데이케어센터,"37.6119868729428, 127.059721006106",37.6119868729428,127.059721006106
3132,복지센터,죽헌 미르데이센터(관악2호),"37.486425566705, 126.938251240942",37.486425566705,126.938251240942
3133,복지센터,관악중앙데이케어센터,"37.4830413108093, 126.947017393873",37.4830413108093,126.947017393873
3134,복지센터,예성주야간보호센터,"37.5002727049114, 126.845248213934",37.5002727049114,126.845248213934
3135,복지센터,강북재활요양원2호점,"37.6643162151208, 127.042312187739",37.6643162151208,127.042312187739
3136,복지센터,강북재활요양원,"37.6643162151208, 127.042312187739",37.6643162151208,127.042312187739
3137,복지센터,서림노인복지센터,"37.4764924707296, 126.936523919925",37.4764924707296,126.936523919925
3138,복지센터,구로제일데이케어센터,"37.4977293058869, 126.891852633222",37.4977293058869,126.891852633222
3139,복지센터,수락데이케어센터,"37.6709115572603, 127.054235543389",37.6709115572603,127.054235543389
3140,복지센터,강동시니어클럽,"37.5401152446496, 127.125310518224",37.5401152446496,127.125310518224
3141,복지센터,큰사랑요양원,"37.682232817909, 127.047755299754",37.682232817909,127.047755299754
3142,복지센터,행복마지요양원,"37.5312646884143, 126.847540389537",37.5312646884143,126.847540389537
3143,복지센터,A플러스잠실데이케어센터,"37.5032314998875, 127.092871492532",37.5032314998875,127.092871492532
3144,복지센터,청춘요양원,"37.682232817909, 127.047755299754",37.682232817909,127.047755299754
3145,복지센터,상계요양원,"37.6743001518189, 127.061210277241",37.6743001518189,127.061210277241
3146,복지센터,가온데이케어센터,"37.5354021873126, 127.144713101462",37.5354021873126,127.144713101462
3147,복지센터,(주)가가호호재가주간복지센터,"37.584726644398, 127.091542589904",37.584726644398,127.091542589904
3148,복지센터,미소사랑요양원,"37.682232817909, 127.047755299754",37.682232817909,127.047755299754
3149,복지센터,효도로어르신학교(데이케어센터),"37.4974421887122, 126.86304887653",37.4974421887122,126.86304887653
3150,복지센터,성내데이케어센터,"37.5312353306954, 127.127348186394",37.5312353306954,127.127348186394
3151,복지센터,효심요양원,"37.682232817909, 127.047755299754",37.682232817909,127.047755299754
3152,복지센터,가족사랑노인요양센터,"37.6132853920915, 127.037339190636",37.6132853920915,127.037339190636
3153,복지센터,효누리요양원,"37.6620264368073, 127.070299634066",37.6620264368073,127.070299634066
3154,복지센터,공릉데이케어센터,"37.6295747035271, 127.069868704519",37.6295747035271,127.069868704519
3155,복지센터,행복한노인요양원3,"37.6340697427662, 127.018655647874",37.6340697427662,127.018655647874
3156,복지센터,더시그넘하우스 너싱홈,"37.4732283306185, 127.103778878303",37.4732283306185,127.103778878303
3157,복지센터,더시그넘하우스,"37.4732283306185, 127.103778878303",37.4732283306185,127.103778878303
