열선의_id,찾은_도로의_id,중점_위도,중점_경도,경사각,최근접_시설의_평균거리,시점_위도,시점_경도,종점_위도,종점_경도,길이,열선여부,행정동,주소,도로명_여부,행정구역
16,,37.559031379084345,127.0013248126,5.910260941532081,223.4966425312616,37.5584893817962,127.001546237286,37.5595733763725,127.001103387914,200,1,장충동2가,중구 동호로25길 29,1,중구
17,,37.5495373516818,127.0091121644885,3.2920794307592893,120.7964986265728,37.5519241493449,127.012518081756,37.5471505540187,127.005706247221,150,1,신당동,중구 다산로 32,1,중구
18,,37.55303523345139,127.004961246422,17.39965034881361,187.06000223609212,37.5531642247547,127.004641437369,37.5529062421481,127.005281055475,65,1,신당동,중구 동호로17길 131-10 (신당동),1,중구
19,,37.55279341095425,127.004831425029,16.404828197225655,198.0427963599455,37.5529498824766,127.004508562987,37.5526369394319,127.005154287071,140,1,신당동,중구 동호로11나길 76 (신당동),1,중구
20,,37.555120413922054,127.0081820022295,3.851632745979564,138.9910535799838,37.5551952253618,127.0084189378,37.5550456024823,127.007945066659,40,1,신당동,중구 동호로15길 126-11 (신당동),1,중구
21,,37.5557988619478,126.9941224739415,2.6056779112048565,356.52086840807885,37.5551515516737,126.995257375967,37.5564461722219,126.992987571916,330,1,예장동,중구 필동로8길 46,1,중구
22,,37.558350596395,126.963984746433,7.463423409985551,142.32723298769582,37.5589544747182,126.963935506406,37.5577467180718,126.96403398646,182,1,중림동,중구 중림로2길 13-10,1,중구
23,,37.55088123780785,127.00548014372,12.952388627505211,296.49851292196723,37.5510611366006,127.006138955405,37.5507013390151,127.004821332035,200,1,신당동,중구 동호로11자길 23,1,중구
24,,37.556972036556544,126.96568813856,7.209965578623894,109.38460896849008,37.5570496013779,126.966115171346,37.5568944717352,126.965261105774,130,1,만리동1가,"중구 만리재로37길 49 (만리동1가, SY파크힐)",1,중구
25,,37.5561943650915,126.993362995522,6.30002333276088,362.7265789491856,37.5564381790232,126.993434160651,37.5559505511598,126.993291830393,65,1,예장동,중구 필동로8길 61-4,1,중구
26,,37.5539920844893,127.0051756000475,4.73524772567689,159.33691719991435,37.5542807185276,127.00518993616,37.553703450451,127.005161263935,80,1,신당동,중구 동호로17다길 2-9,1,중구
27,,37.56482255719115,127.022979672956,1.8496007766921776,109.33170383174556,37.5649279604204,127.022353778248,37.5647171539619,127.023605567664,140,1,신당동,중구 다산로44길 107,1,중구
28,,37.54965952669125,127.0079304625275,17.677447691223282,228.1083552451119,37.5496517899605,127.007753924921,37.549667263422,127.008107000134,60,1,신당동,중구 다산로4길 7,1,중구
29,,37.555872078289,127.00739495916348,7.4986025381938495,164.31929279568652,37.5562070218295,127.007431830399,37.5555371347485,127.007358087928,92,1,신당동,중구 동호로17가길 12,1,중구
30,,37.550319117299054,127.0061759001275,9.54814600752825,251.02285790044863,37.550482503088,127.006372369098,37.5501557315101,127.005979431157,40,1,신당동,중구 동호로11바길 27 (신당동),1,중구
31,,37.554176156583594,127.0069476509315,5.563974145806482,96.79135592809504,37.5541531089295,127.007409218495,37.5541992042377,127.006486083368,128,1,신당동,중구 동호로15길 97-12,1,중구
