,학교구분,학교명,학교_위치,위도,경도
503,초등학교,서울신남초등학교,"37.5164578282463, 126.843152158167",37.5164578282463,126.843152158167
504,초등학교,서울신기초등학교,"37.5113123131977, 126.854212986887",37.5113123131977,126.854212986887
505,초등학교,서울신곡초등학교,"37.539095457491, 126.856009569323",37.539095457491,126.856009569323
506,초등학교,서울신강초등학교,"37.5258441852217, 126.842263907731",37.5258441852217,126.842263907731
507,초등학교,서울수명초등학교,"37.5527726671834, 126.823879421286",37.5527726671834,126.823879421286
508,초등학교,서울송화초등학교,"37.5681504658023, 126.818032939459",37.5681504658023,126.818032939459
509,초등학교,서울송정초등학교,"37.5622308905044, 126.810281254376",37.5622308905044,126.810281254376
510,초등학교,서울서정초등학교,"37.523450121384, 126.867236182114",37.523450121384,126.867236182114
511,초등학교,서울삼정초등학교,"37.5805084341875, 126.810493686239",37.5805084341875,126.810493686239
512,초등학교,서울백석초등학교,"37.5536476529209, 126.862425846537",37.5536476529209,126.862425846537
513,초등학교,서울방화초등학교,"37.5687040876215, 126.807498167739",37.5687040876215,126.807498167739
514,초등학교,서울발산초등학교,"37.5502624356308, 126.830994377549",37.5502624356308,126.830994377549
515,초등학교,서울목원초등학교,"37.5429349691333, 126.882445908007",37.5429349691333,126.882445908007
516,초등학교,서울목운초등학교,"37.527009517428, 126.873044206364",37.527009517428,126.873044206364
517,초등학교,서울목동초등학교,"37.5228087705411, 126.872119522597",37.5228087705411,126.872119522597
518,초등학교,서울등현초등학교,"37.5614511765549, 126.847598419984",37.5614511765549,126.847598419984
519,초등학교,서울등촌초등학교,"37.5476142187642, 126.857942163854",37.5476142187642,126.857942163854
520,초등학교,서울등원초등학교,"37.5598135358227, 126.850068963394",37.5598135358227,126.850068963394
521,초등학교,서울등양초등학교,"37.5649470358937, 126.844760249704",37.5649470358937,126.844760249704
522,초등학교,서울등서초등학교,"37.5518843920056, 126.855038093326",37.5518843920056,126.855038093326
523,초등학교,서울등명초등학교,"37.560894450375, 126.842382226829",37.560894450375,126.842382226829
524,초등학교,서울등마초등학교,"37.5420437126904, 126.861667207498",37.5420437126904,126.861667207498
525,초등학교,서울내발산초등학교,"37.5508825455676, 126.838164214765",37.5508825455676,126.838164214765
526,초등학교,서울남명초등학교,"37.5156885267235, 126.854099844566",37.5156885267235,126.854099844566
527,초등학교,서울공항초등학교,"37.5631752585272, 126.821215237029",37.5631752585272,126.821215237029
528,초등학교,서울공진초등학교,"37.5578308778281, 126.822806144479",37.5578308778281,126.822806144479
529,초등학교,서울계남초등학교,"37.5101677598408, 126.86001590922",37.5101677598408,126.86001590922
530,초등학교,서울경인초등학교,"37.5328710177851, 126.885695675904",37.5328710177851,126.885695675904
531,초등학교,서울개화초등학교,"37.5739262377478, 126.804694204855",37.5739262377478,126.804694204855
532,초등학교,서울강월초등학교,"37.516341716111, 126.833431935892",37.516341716111,126.833431935892
533,초등학교,서울강신초등학교,"37.5421368264529, 126.829581447367",37.5421368264529,126.829581447367
534,초등학교,서울강서초등학교,"37.5224127216539, 126.840987861073",37.5224127216539,126.840987861073
535,초등학교,서울갈산초등학교,"37.5123715649068, 126.870229875385",37.5123715649068,126.870229875385
536,초등학교,서울가양초등학교,"37.5622171927841, 126.858521557616",37.5622171927841,126.858521557616
537,초등학교,서울가곡초등학교,"37.5557076050115, 126.836103074522",37.5557076050115,126.836103074522
538,중학교,서울대학교사범대학부설여자중학교,"37.5775997032467, 127.004295521787",37.5775997032467,127.004295521787
539,초등학교,서울대학교사범대학부설초등학교,"37.5775997032467, 127.004295521787",37.5775997032467,127.004295521787
540,중학교,환일중학교,"37.5537559309443, 126.962588449936",37.5537559309443,126.962588449936
541,중학교,한양중학교,"37.5658716036039, 127.011443307588",37.5658716036039,127.011443307588
542,중학교,한강중학교,"37.5236119183008, 126.992790867047",37.5236119183008,126.992790867047
543,중학교,청운중학교,"37.5891709420972, 126.971088602259",37.5891709420972,126.971088602259
544,중학교,창덕여자중학교,"37.5664327974417, 126.96921017611",37.5664327974417,126.96921017611
545,중학교,중앙중학교,"37.5837882231459, 126.987472622092",37.5837882231459,126.987472622092
546,중학교,장충중학교,"37.5535149002283, 127.006414953028",37.5535149002283,127.006414953028
547,중학교,장원중학교,"37.5539645178112, 127.006042884936",37.5539645178112,127.006042884936
548,중학교,용산중학교,"37.5460125390171, 126.9809128899",37.5460125390171,126.9809128899
549,중학교,용강중학교,"37.5215769321647, 126.975485292591",37.5215769321647,126.975485292591
550,중학교,오산중학교,"37.5235805097988, 127.000887240982",37.5235805097988,127.000887240982
551,각종학교(중),예원학교,"37.56702326472, 126.971542683635",37.56702326472,126.971542683635
552,중학교,신광여자중학교,"37.5428998795519, 126.969447523164",37.5428998795519,126.969447523164
553,중학교,성심여자중학교,"37.534209370461, 126.95459335968",37.534209370461,126.95459335968
554,중학교,선린중학교,"37.5427698351486, 126.966038693159",37.5427698351486,126.966038693159
555,중학교,상명대학교사범대학부속여자중학교,"37.604108905882, 126.955159496571",37.604108905882,126.955159496571
556,중학교,보성여자중학교,"37.5430815444968, 126.984284175086",37.5430815444968,126.984284175086
557,중학교,배화여자중학교,"37.5795440101952, 126.967291871532",37.5795440101952,126.967291871532
558,중학교,배문중학교,"37.5499187190496, 126.963904100329",37.5499187190496,126.963904100329
559,중학교,동성중학교,"37.5849699592551, 127.003097645534",37.5849699592551,127.003097645534
560,중학교,덕수중학교,"37.5655795665775, 126.996997330546",37.5655795665775,126.996997330546
561,중학교,덕성여자중학교,"37.5777859821946, 126.981909156246",37.5777859821946,126.981909156246
562,중학교,대신중학교,"37.573123769216, 126.96125454884",37.573123769216,126.96125454884
563,중학교,대경중학교,"37.5563732600255, 127.016979156363",37.5563732600255,127.016979156363
564,중학교,금호여자중학교,"37.5580382015709, 127.020461206678",37.5580382015709,127.020461206678
565,중학교,경신중학교,"37.5922022663657, 126.999531005507",37.5922022663657,126.999531005507
566,초등학교,운현초등학교,"37.5766672930696, 126.988198556535",37.5766672930696,126.988198556535
567,초등학교,신광초등학교,"37.5428998795519, 126.969447523164",37.5428998795519,126.969447523164
568,초등학교,숭의초등학교,"37.5578530747432, 126.987481605528",37.5578530747432,126.987481605528
569,초등학교,서울흥인초등학교,"37.5609374871352, 127.014616166709",37.5609374871352,127.014616166709
570,초등학교,서울후암초등학교,"37.5513654103686, 126.981724291635",37.5513654103686,126.981724291635
571,초등학교,서울효제초등학교,"37.5727179599562, 127.003515410111",37.5727179599562,127.003515410111
572,초등학교,서울혜화초등학교,"37.5891727709231, 126.999927989279",37.5891727709231,126.999927989279
573,초등학교,서울한남초등학교,"37.5392036532348, 127.005599847436",37.5392036532348,127.005599847436
574,초등학교,서울한강초등학교,"37.5252261730909, 126.965099429477",37.5252261730909,126.965099429477
575,초등학교,서울충무초등학교,"37.5619494839149, 127.001235055009",37.5619494839149,127.001235055009
576,초등학교,서울청파초등학교,"37.5473049014312, 126.963543924367",37.5473049014312,126.963543924367
577,초등학교,서울청운초등학교,"37.585805731799, 126.969294698603",37.585805731799,126.969294698603
578,초등학교,서울청구초등학교,"37.5591166793514, 127.013724413955",37.5591166793514,127.013724413955
579,초등학교,서울창신초등학교,"37.5762114748296, 127.014293687874",37.5762114748296,127.014293687874
580,초등학교,서울재동초등학교,"37.5799415657652, 126.9855017071",37.5799415657652,126.9855017071
581,초등학교,서울장충초등학교,"37.559971222213, 127.01170475684",37.559971222213,127.01170475684
582,초등학교,서울이태원초등학교,"37.5364777066784, 126.987672660332",37.5364777066784,126.987672660332
583,초등학교,서울원효초등학교,"37.5361612583146, 126.951545316146",37.5361612583146,126.951545316146
584,초등학교,서울용암초등학교,"37.5453029008824, 126.989434775031",37.5453029008824,126.989434775031
585,초등학교,서울용산초등학교,"37.535613442977, 126.972550624529",37.535613442977,126.972550624529
586,초등학교,서울신용산초등학교,"37.5206295929735, 126.975366260146",37.5206295929735,126.975366260146
587,초등학교,서울신당초등학교,"37.5636896515896, 127.023636595929",37.5636896515896,127.023636595929
588,초등학교,서울세검정초등학교,"37.6034986015128, 126.961073121539",37.6034986015128,126.961073121539
589,초등학교,서울서빙고초등학교,"37.5220689203394, 126.992300401397",37.5220689203394,126.992300401397
590,초등학교,서울삼광초등학교,"37.5477523117279, 126.976594308147",37.5477523117279,126.976594308147
591,초등학교,서울봉래초등학교,"37.5564123449189, 126.965250577981",37.5564123449189,126.965250577981
592,초등학교,서울보광초등학교,"37.5325404707342, 126.996391100579",37.5325404707342,126.996391100579
593,초등학교,서울명신초등학교,"37.5813606333694, 127.013724533725",37.5813606333694,127.013724533725
594,초등학교,서울매동초등학교,"37.5775391376934, 126.966716978826",37.5775391376934,126.966716978826
595,초등학교,서울독립문초등학교,"37.5740826001873, 126.960148752178",37.5740826001873,126.960148752178
596,초등학교,서울덕수초등학교,"37.5690888764456, 126.974657902016",37.5690888764456,126.974657902016
597,초등학교,서울남정초등학교,"37.5356738275449, 126.964803669293",37.5356738275449,126.964803669293
598,초등학교,서울남산초등학교,"37.5597837446411, 126.986776737543",37.5597837446411,126.986776737543
599,초등학교,서울금양초등학교,"37.5409423141075, 126.961831873199",37.5409423141075,126.961831873199
600,초등학교,서울교동초등학교,"37.5749936834295, 126.988075995471",37.5749936834295,126.988075995471
601,초등학교,서울광희초등학교,"37.5672992845452, 127.015687859678",37.5672992845452,127.015687859678
602,초등학교,상명대학교사범대학부속초등학교,"37.6007485057551, 126.956425519955",37.6007485057551,126.956425519955
603,초등학교,리라초등학교,"37.5578196996083, 126.987980721445",37.5578196996083,126.987980721445
604,초등학교,동산초등학교,"37.5562046295135, 127.016725380867",37.5562046295135,127.016725380867
605,각종학교(중),한국삼육중학교,"37.643357369067, 127.108850343184",37.643357369067,127.108850343184
606,중학교,효문중학교,"37.6526987118348, 127.0184004627",37.6526987118348,127.0184004627
607,중학교,한천중학교,"37.6312721593711, 127.072117818679",37.6312721593711,127.072117818679
608,중학교,하계중학교,"37.6413699077314, 127.072333564792",37.6413699077314,127.072333564792
609,중학교,태랑중학교,"37.6269609216049, 127.09080728109",37.6269609216049,127.09080728109
610,중학교,청원중학교,"37.6652515464657, 127.062532889006",37.6652515464657,127.062532889006
611,중학교,창일중학교,"37.6489885948239, 127.046444592356",37.6489885948239,127.046444592356
612,중학교,창북중학교,"37.6491157717023, 127.038832940575",37.6491157717023,127.038832940575
613,중학교,창동중학교,"37.6632295672339, 127.048997534536",37.6632295672339,127.048997534536
614,중학교,중평중학교,"37.6369763760003, 127.062335387205",37.6369763760003,127.062335387205
615,중학교,중원중학교,"37.644238678695, 127.068029512763",37.644238678695,127.068029512763
616,중학교,중계중학교,"37.6556269059244, 127.074900383387",37.6556269059244,127.074900383387
617,중학교,정의여자중학교,"37.6533558400471, 127.032427255133",37.6533558400471,127.032427255133
618,중학교,재현중학교,"37.6612906377296, 127.080799772038",37.6612906377296,127.080799772038
619,중학교,을지중학교,"37.6497879094923, 127.071708403396",37.6497879094923,127.071708403396
620,중학교,월계중학교,"37.6311311432951, 127.052320262288",37.6311311432951,127.052320262288
